Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Season,Overall Rating_home,Attack_home,Midfield_home,Defence_home,Num of Players_home,Build-up Style_home,Overall Rating_away,Attack_away,Midfield_away,Defence_away,Num of Players_away,Build-up Style_away
B1,2019-09-01,17:00,Anderlecht,Standard,1,0,H,1.0,0.0,H,10.0,11.0,4.0,5.0,15.0,12.0,1.0,3.0,2.0,2.0,0.0,0.0,2.05,3.6,3.4,2019-2020,72.0,72.0,72.0,71.0,29.0,Balanced,,,,,,
B1,2019-09-01,19:00,Gent,Cercle Brugge,3,2,H,3.0,1.0,H,17.0,7.0,8.0,3.0,12.0,16.0,4.0,2.0,1.0,4.0,0.0,0.0,1.28,6.0,8.5,2019-2020,74.0,75.0,74.0,71.0,27.0,Balanced,66.0,67.0,66.0,65.0,25.0,Balanced
B1,2019-09-01,19:00,Waregem,Antwerp,2,0,H,2.0,0.0,H,10.0,3.0,4.0,2.0,7.0,16.0,5.0,6.0,0.0,2.0,0.0,0.0,2.7,3.8,2.3,2019-2020,68.0,69.0,68.0,67.0,28.0,Balanced,71.0,72.0,71.0,70.0,28.0,Long Ball
B1,2019-09-13,19:30,Charleroi,Genk,2,1,H,2.0,0.0,H,3.0,11.0,3.0,4.0,14.0,8.0,1.0,3.0,6.0,1.0,0.0,0.0,2.7,3.6,2.37,2019-2020,70.0,71.0,70.0,69.0,27.0,Fast Build-Up,72.0,72.0,72.0,70.0,25.0,Balanced
B1,2019-09-14,17:00,Oostende,Standard,1,4,A,1.0,1.0,D,4.0,10.0,3.0,8.0,11.0,10.0,2.0,9.0,0.0,2.0,0.0,0.0,4.33,4.2,1.66,2019-2020,67.0,68.0,67.0,66.0,27.0,Long Ball,,,,,,
B1,2019-09-14,19:00,Eupen,Waregem,1,1,D,0.0,1.0,A,9.0,4.0,2.0,2.0,18.0,20.0,5.0,2.0,3.0,2.0,0.0,1.0,2.75,3.75,2.3,2019-2020,65.0,65.0,65.0,64.0,26.0,Balanced,68.0,69.0,68.0,67.0,28.0,Balanced
B1,2019-09-14,19:00,St Truiden,Waasland-Beveren,1,1,D,0.0,0.0,D,4.0,12.0,2.0,4.0,12.0,11.0,6.0,9.0,2.0,1.0,0.0,0.0,1.6,4.2,5.0,2019-2020,67.0,67.0,67.0,66.0,26.0,Fast Build-Up,65.0,66.0,65.0,64.0,24.0,Long Ball
B1,2019-09-14,19:30,Cercle Brugge,Club Brugge,0,2,A,0.0,1.0,A,11.0,8.0,4.0,4.0,13.0,6.0,3.0,9.0,1.0,2.0,0.0,0.0,8.5,6.0,1.28,2019-2020,66.0,67.0,66.0,65.0,25.0,Balanced,75.0,74.0,76.0,72.0,28.0,Balanced
B1,2019-09-15,13:30,Anderlecht,Antwerp,1,2,A,0.0,0.0,D,10.0,13.0,2.0,8.0,13.0,13.0,11.0,4.0,4.0,4.0,1.0,0.0,2.0,3.6,3.5,2019-2020,72.0,72.0,72.0,71.0,29.0,Balanced,71.0,72.0,71.0,70.0,28.0,Long Ball
B1,2019-09-15,17:00,Gent,Mechelen,3,0,H,3.0,0.0,H,13.0,4.0,9.0,0.0,10.0,9.0,7.0,4.0,1.0,3.0,0.0,0.0,1.5,4.33,6.0,2019-2020,74.0,75.0,74.0,71.0,27.0,Balanced,69.0,70.0,69.0,68.0,26.0,Balanced
B1,2019-09-15,19:30,Mouscron,Kortrijk,2,0,H,1.0,0.0,H,8.0,7.0,4.0,2.0,14.0,16.0,6.0,5.0,3.0,3.0,0.0,1.0,2.1,3.5,3.3,2019-2020,64.0,65.0,64.0,63.0,25.0,Long Ball,,,,,,
B1,2019-09-20,19:30,Kortrijk,Mechelen,2,3,A,1.0,0.0,H,11.0,9.0,7.0,6.0,19.0,18.0,6.0,2.0,0.0,3.0,0.0,0.0,2.4,3.3,2.87,2019-2020,,,,,,,69.0,70.0,69.0,68.0,26.0,Balanced
B1,2019-09-21,17:00,Charleroi,St Truiden,0,3,A,0.0,1.0,A,12.0,5.0,2.0,5.0,13.0,13.0,12.0,2.0,2.0,3.0,0.0,0.0,1.57,4.0,5.75,2019-2020,70.0,71.0,70.0,69.0,27.0,Fast Build-Up,67.0,67.0,67.0,66.0,26.0,Fast Build-Up
B1,2019-09-21,19:00,Antwerp,Cercle Brugge,3,1,H,1.0,1.0,D,13.0,5.0,8.0,1.0,14.0,13.0,5.0,2.0,1.0,2.0,0.0,0.0,1.36,4.75,8.0,2019-2020,71.0,72.0,71.0,70.0,28.0,Long Ball,66.0,67.0,66.0,65.0,25.0,Balanced
B1,2019-09-21,19:00,Waasland-Beveren,Mouscron,1,1,D,0.0,1.0,A,7.0,6.0,2.0,4.0,11.0,11.0,2.0,4.0,1.0,2.0,0.0,0.0,3.4,3.5,2.05,2019-2020,65.0,66.0,65.0,64.0,24.0,Long Ball,64.0,65.0,64.0,63.0,25.0,Long Ball
B1,2019-09-21,19:30,Genk,Oostende,3,1,H,2.0,1.0,H,14.0,14.0,3.0,5.0,11.0,11.0,8.0,4.0,2.0,2.0,0.0,0.0,1.33,4.75,10.0,2019-2020,72.0,72.0,72.0,70.0,25.0,Balanced,67.0,68.0,67.0,66.0,27.0,Long Ball
B1,2019-09-22,13:30,Standard,Eupen,3,0,H,2.0,0.0,H,15.0,4.0,8.0,1.0,9.0,14.0,6.0,3.0,0.0,2.0,0.0,1.0,1.28,5.75,9.0,2019-2020,,,,,,,65.0,65.0,65.0,64.0,26.0,Balanced
B1,2019-09-22,17:00,Club Brugge,Anderlecht,2,1,H,1.0,1.0,D,17.0,5.0,8.0,4.0,11.0,14.0,8.0,3.0,1.0,2.0,0.0,0.0,1.5,4.33,6.0,2019-2020,75.0,74.0,76.0,72.0,28.0,Balanced,72.0,72.0,72.0,71.0,29.0,Balanced
B1,2019-09-22,19:00,Waregem,Gent,2,2,D,1.0,1.0,D,6.0,13.0,2.0,5.0,11.0,17.0,3.0,2.0,1.0,1.0,0.0,1.0,3.4,3.75,2.0,2019-2020,68.0,69.0,68.0,67.0,28.0,Balanced,74.0,75.0,74.0,71.0,27.0,Balanced
B1,2019-09-28,17:00,Mechelen,Club Brugge,0,5,A,0.0,1.0,A,2.0,22.0,0.0,12.0,6.0,19.0,1.0,12.0,2.0,1.0,1.0,0.0,6.0,4.33,1.5,2019-2020,69.0,70.0,69.0,68.0,26.0,Balanced,75.0,74.0,76.0,72.0,28.0,Balanced
B1,2019-09-28,19:00,Cercle Brugge,Eupen,1,2,A,1.0,0.0,H,7.0,7.0,3.0,4.0,22.0,19.0,1.0,2.0,4.0,4.0,1.0,0.0,2.0,3.6,3.25,2019-2020,66.0,67.0,66.0,65.0,25.0,Balanced,65.0,65.0,65.0,64.0,26.0,Balanced
B1,2019-09-28,19:00,Gent,Kortrijk,2,0,H,0.0,0.0,D,13.0,3.0,8.0,2.0,9.0,14.0,2.0,5.0,2.0,0.0,0.0,0.0,1.3,5.5,9.0,2019-2020,74.0,75.0,74.0,71.0,27.0,Balanced,,,,,,
B1,2019-09-28,19:00,Mouscron,Waregem,2,2,D,1.0,0.0,H,9.0,13.0,4.0,7.0,23.0,13.0,4.0,6.0,3.0,1.0,0.0,0.0,2.15,3.5,2.9,2019-2020,64.0,65.0,64.0,63.0,25.0,Long Ball,68.0,69.0,68.0,67.0,28.0,Balanced
B1,2019-09-28,19:30,St Truiden,Genk,3,3,D,0.0,1.0,A,8.0,8.0,4.0,4.0,19.0,10.0,10.0,13.0,6.0,1.0,0.0,0.0,4.75,3.8,1.7,2019-2020,67.0,67.0,67.0,66.0,26.0,Fast Build-Up,72.0,72.0,72.0,70.0,25.0,Balanced
B1,2019-09-29,13:30,Anderlecht,Waasland-Beveren,0,0,D,0.0,0.0,D,12.0,4.0,5.0,2.0,14.0,17.0,7.0,1.0,2.0,3.0,0.0,0.0,1.36,4.75,6.5,2019-2020,72.0,72.0,72.0,71.0,29.0,Balanced,65.0,66.0,65.0,64.0,24.0,Long Ball
B1,2019-09-29,17:00,Standard,Charleroi,1,1,D,0.0,1.0,A,9.0,10.0,3.0,5.0,13.0,21.0,9.0,2.0,2.0,4.0,0.0,1.0,1.57,4.0,4.75,2019-2020,,,,,,,70.0,71.0,70.0,69.0,27.0,Fast Build-Up
B1,2019-09-29,19:00,Oostende,Antwerp,1,1,D,0.0,1.0,A,12.0,7.0,5.0,2.0,14.0,12.0,2.0,5.0,0.0,0.0,0.0,0.0,3.8,3.8,1.75,2019-2020,67.0,68.0,67.0,66.0,27.0,Long Ball,71.0,72.0,71.0,70.0,28.0,Long Ball
B1,2019-10-04,19:30,Charleroi,Anderlecht,1,2,A,1.0,1.0,D,11.0,11.0,3.0,6.0,23.0,17.0,4.0,4.0,2.0,5.0,0.0,0.0,2.37,3.3,2.87,2019-2020,70.0,71.0,70.0,69.0,27.0,Fast Build-Up,72.0,72.0,72.0,71.0,29.0,Balanced
B1,2019-10-05,17:00,Eupen,Mechelen,0,2,A,0.0,1.0,A,13.0,10.0,5.0,4.0,10.0,11.0,10.0,6.0,1.0,5.0,0.0,1.0,2.7,3.4,2.5,2019-2020,65.0,65.0,65.0,64.0,26.0,Balanced,69.0,70.0,69.0,68.0,26.0,Balanced
B1,2019-10-05,19:00,Waasland-Beveren,Oostende,3,1,H,2.0,1.0,H,14.0,7.0,8.0,5.0,16.0,16.0,8.0,1.0,1.0,3.0,0.0,0.0,2.5,3.3,2.75,2019-2020,65.0,66.0,65.0,64.0,24.0,Long Ball,67.0,68.0,67.0,66.0,27.0,Long Ball
B1,2019-10-05,19:00,Waregem,Cercle Brugge,6,0,H,2.0,0.0,H,11.0,8.0,7.0,3.0,8.0,17.0,4.0,7.0,1.0,3.0,0.0,0.0,1.6,4.0,5.5,2019-2020,68.0,69.0,68.0,67.0,28.0,Balanced,66.0,67.0,66.0,65.0,25.0,Balanced
B1,2019-10-05,19:30,Kortrijk,St Truiden,4,0,H,3.0,0.0,H,16.0,6.0,9.0,0.0,16.0,12.0,3.0,2.0,3.0,2.0,0.0,1.0,1.83,3.6,4.0,2019-2020,,,,,,,67.0,67.0,67.0,66.0,26.0,Fast Build-Up
