Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,Hour,FTR_numeric,Year,Month,Day,HomeTeam_enc,AwayTeam_enc,DayOfWeek_Num,FTR_category,Result,Season,Team_Home,Overall Rating_Home,Attack_Home,Midfield_Home,Defence_Home,Num of Players_Home,Build-up Style_Home,Team_Away,Overall Rating_Away,Attack_Away,Midfield_Away,Defence_Away,Num of Players_Away,Build-up Style_Away,HomeTeam_Advantage,HomeTeam_Form,AwayTeam_Form
B1,2019-08-18,Gent,Oostende,2,0,H,11.0,5.0,4.0,2.0,6.0,15.0,5.0,4.0,0.0,1.0,0.0,0.0,1.33,5.5,7.5,19,1,2019,8,18,8,12,1,Home Win,Home Win,2019-2020,Gent,74.0,75.0,74.0,71.0,27.0,Balanced,Oostende,67.0,68.0,67.0,66.0,27.0,Long Ball,100.0,44.44444444444444,66.66666666666666
B1,2019-08-19,Waregem,Charleroi,3,1,H,5.0,4.0,3.0,2.0,13.0,15.0,3.0,5.0,2.0,1.0,0.0,0.0,2.8,3.3,2.3,19,1,2019,8,19,20,4,2,Home Win,Home Win,2019-2020,Waregem,68.0,69.0,68.0,67.0,28.0,Balanced,Charleroi,70.0,71.0,70.0,69.0,27.0,Fast Build-Up,0.0,33.33333333333333,55.55555555555556
B1,2019-08-23,Genk,Anderlecht,1,0,H,6.0,8.0,4.0,2.0,8.0,16.0,5.0,10.0,0.0,1.0,0.0,0.0,1.72,3.8,4.5,19,1,2019,8,23,7,0,6,Home Win,Home Win,2019-2020,Genk,72.0,72.0,72.0,70.0,25.0,Balanced,Anderlecht,72.0,72.0,72.0,71.0,29.0,Balanced,50.0,50.0,16.666666666666664
B1,2019-08-24,Cercle Brugge,Waasland-Beveren,1,0,H,7.0,10.0,2.0,2.0,13.0,8.0,3.0,7.0,2.0,1.0,0.0,0.0,2.0,3.6,3.5,19,1,2019,8,24,3,19,7,Home Win,Home Win,2019-2020,Cercle Brugge,66.0,67.0,66.0,65.0,25.0,Balanced,Waasland-Beveren,65.0,66.0,65.0,64.0,24.0,Long Ball,0.0,0.0,8.333333333333332
B1,2019-08-24,St Truiden,Waregem,0,0,D,13.0,8.0,2.0,2.0,15.0,15.0,5.0,4.0,2.0,1.0,0.0,0.0,2.25,3.5,3.0,19,0,2019,8,24,16,20,7,Draw,Draw,2019-2020,St Truiden,67.0,67.0,67.0,66.0,26.0,Fast Build-Up,Waregem,68.0,69.0,68.0,67.0,28.0,Balanced,50.0,25.0,50.0
B1,2019-08-24,Oostende,Mechelen,2,1,H,13.0,11.0,8.0,6.0,18.0,12.0,6.0,9.0,2.0,3.0,0.0,0.0,3.1,3.5,2.2,19,1,2019,8,24,12,10,7,Home Win,Home Win,2019-2020,Oostende,67.0,68.0,67.0,66.0,27.0,Long Ball,Mechelen,69.0,70.0,69.0,68.0,26.0,Balanced,50.0,50.0,83.33333333333334
B1,2019-08-25,Standard,Kortrijk,2,1,H,8.0,6.0,5.0,2.0,9.0,18.0,7.0,3.0,2.0,3.0,1.0,0.0,1.5,4.5,5.75,17,1,2019,8,25,18,9,1,Home Win,Home Win,2019-2020,,69.65567176186646,70.34285714285714,69.84285714285714,68.46746031746032,26.95,Balanced,,69.64389067524115,70.3330689928628,69.83108643933386,68.45757335448057,26.94528152260111,Balanced,100.0,75.0,58.333333333333336
B1,2019-08-25,Mouscron,Eupen,2,0,H,5.0,6.0,4.0,2.0,17.0,11.0,6.0,6.0,3.0,3.0,0.0,0.0,1.72,3.75,4.5,19,1,2019,8,25,11,6,1,Home Win,Home Win,2019-2020,Mouscron,64.0,65.0,64.0,63.0,25.0,Long Ball,Eupen,65.0,65.0,65.0,64.0,26.0,Balanced,66.66666666666666,58.333333333333336,16.666666666666664
B1,2019-08-30,Mechelen,Mouscron,2,2,D,8.0,10.0,4.0,5.0,13.0,16.0,5.0,7.0,1.0,1.0,0.0,0.0,1.95,3.75,3.5,19,0,2019,8,30,10,11,6,Draw,Draw,2019-2020,Mechelen,69.0,70.0,69.0,68.0,26.0,Balanced,Mouscron,64.0,65.0,64.0,63.0,25.0,Long Ball,100.0,66.66666666666666,66.66666666666666
B1,2019-08-31,Eupen,St Truiden,0,2,A,16.0,10.0,6.0,3.0,14.0,7.0,7.0,1.0,2.0,1.0,0.0,0.0,2.3,3.6,2.8,17,2,2019,8,31,6,16,7,Away Win,Away Win,2019-2020,Eupen,65.0,65.0,65.0,64.0,26.0,Balanced,St Truiden,67.0,67.0,67.0,66.0,26.0,Fast Build-Up,16.666666666666664,13.333333333333334,26.666666666666668
