Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,Hour,FTR_numeric,Year,Month,Day,HomeTeam_enc,AwayTeam_enc,DayOfWeek_Num,Result,Season
B1,2022-01-23,Cercle Brugge,Waregem,3,1,H,12.0,10.0,5.0,4.0,15.0,10.0,3.0,5.0,3.0,4.0,0.0,0.0,1.53,4.2,6.0,1.55,4.2,5.75,1.55,4.3,5.25,1.56,4.33,5.69,1.55,4.2,5.5,1.53,4.2,5.5,1.59,4.5,6.0,1.54,4.25,5.51,20,1,2022,1,23,3,20,1,Home Win,2021-2022
B1,2022-01-25,Antwerp,St Truiden,1,1,D,13.0,7.0,3.0,2.0,7.0,16.0,8.0,5.0,0.0,2.0,0.0,0.0,1.85,3.6,4.0,1.85,3.6,4.2,1.9,3.4,4.0,1.88,3.62,4.41,1.8,3.6,4.2,1.83,3.5,4.2,1.91,3.79,4.5,1.85,3.55,4.16,17,0,2022,1,25,1,16,3,Draw,2021-2022
B1,2022-01-25,Charleroi,Kortrijk,1,1,D,19.0,7.0,10.0,2.0,14.0,11.0,6.0,2.0,2.0,3.0,0.0,0.0,1.95,3.5,3.75,1.87,3.5,4.2,1.95,3.45,3.6,1.98,3.56,4.01,1.95,3.5,3.75,1.93,3.6,3.7,1.99,3.72,4.2,1.94,3.54,3.79,20,0,2022,1,25,4,9,3,Draw,2021-2022
B1,2022-01-25,Gent,Oostende,1,1,D,17.0,4.0,6.0,2.0,9.0,15.0,5.0,3.0,1.0,3.0,0.0,0.0,1.44,4.5,7.0,1.41,4.6,7.5,1.4,4.8,7.0,1.42,4.59,8.54,1.35,5.0,7.5,1.4,4.75,7.0,1.44,5.1,9.5,1.4,4.75,7.32,20,0,2022,1,25,8,12,3,Draw,2021-2022
B1,2022-01-26,Eupen,Standard,0,2,A,16.0,14.0,3.0,4.0,7.0,9.0,11.0,2.0,1.0,2.0,0.0,0.0,3.0,3.4,2.3,3.1,3.3,2.25,2.9,3.4,2.25,3.15,3.37,2.32,3.0,3.4,2.25,3.0,3.4,2.25,3.15,3.69,2.32,3.01,3.41,2.27,17,2,2022,1,26,6,18,4,Away Win,2021-2022
B1,2022-01-26,Waregem,Oud-Heverlee Leuven,1,1,D,10.0,10.0,4.0,3.0,6.0,10.0,6.0,2.0,2.0,2.0,0.0,0.0,2.7,3.5,2.45,2.7,3.5,2.5,2.6,3.55,2.4,2.74,3.69,2.45,2.75,3.5,2.35,2.7,3.6,2.4,2.76,3.79,2.5,2.68,3.58,2.42,17,0,2022,1,26,20,13,4,Draw,2021-2022
B1,2022-01-26,Anderlecht,Cercle Brugge,0,2,A,3.0,17.0,0.0,9.0,10.0,17.0,4.0,1.0,1.0,2.0,1.0,0.0,1.65,3.8,5.0,1.65,4.0,5.0,1.65,4.0,4.8,1.67,4.11,4.85,1.63,3.9,5.0,1.62,3.9,5.0,1.7,4.25,5.0,1.65,4.0,4.83,20,2,2022,1,26,0,3,4,Away Win,2021-2022
B1,2022-01-26,Seraing,Beerschot VA,2,1,H,14.0,14.0,4.0,4.0,10.0,8.0,5.0,9.0,2.0,1.0,0.0,0.0,1.95,3.6,3.6,1.93,3.9,3.5,2.0,3.6,3.35,2.06,3.69,3.46,2.05,3.4,3.5,2.0,3.5,3.5,2.06,3.9,3.6,2.01,3.63,3.42,20,1,2022,1,26,15,2,4,Home Win,2021-2022
B1,2022-01-27,Club Brugge,St. Gilloise,0,0,D,10.0,17.0,1.0,6.0,14.0,14.0,4.0,9.0,1.0,4.0,0.0,0.0,2.05,3.6,3.4,2.0,3.7,3.5,2.05,3.55,3.25,2.02,3.92,3.37,2.05,3.6,3.3,2.0,3.6,3.4,2.08,3.92,3.5,2.03,3.65,3.34,19,0,2022,1,27,5,17,5,Draw,2021-2022
B1,2022-01-28,St Truiden,Charleroi,0,1,A,18.0,13.0,3.0,2.0,12.0,9.0,10.0,4.0,1.0,1.0,0.0,0.0,2.6,3.4,2.7,2.6,3.25,2.7,2.6,3.1,2.75,2.67,3.24,2.86,2.7,3.1,2.62,2.55,3.25,2.7,2.71,3.4,2.86,2.61,3.22,2.74,19,2,2022,1,28,16,4,6,Away Win,2021-2022
B1,2022-01-29,Beerschot VA,Waregem,3,3,D,18.0,8.0,7.0,3.0,12.0,16.0,13.0,1.0,1.0,3.0,0.0,0.0,2.3,3.4,3.0,2.25,3.5,3.0,2.3,3.5,2.75,2.27,3.82,2.92,2.35,3.5,2.8,2.3,3.5,2.88,2.35,3.83,3.0,2.28,3.57,2.89,15,0,2022,1,29,2,20,7,Draw,2021-2022
B1,2022-01-29,Seraing,Eupen,0,0,D,14.0,10.0,5.0,2.0,8.0,16.0,6.0,1.0,2.0,3.0,0.0,0.0,2.4,3.4,2.8,2.4,3.4,2.8,2.4,3.35,2.7,2.49,3.47,2.82,2.45,3.3,2.8,2.45,3.3,2.8,2.51,3.5,2.88,2.43,3.38,2.79,17,0,2022,1,29,15,6,7,Draw,2021-2022
B1,2022-01-29,Cercle Brugge,Oostende,0,1,A,10.0,11.0,2.0,3.0,14.0,14.0,5.0,4.0,1.0,2.0,0.0,0.0,1.5,4.0,6.5,1.57,4.2,5.5,1.53,4.3,5.5,1.56,4.19,5.85,1.52,4.0,6.0,1.5,4.2,6.0,1.58,4.4,6.5,1.54,4.21,5.68,19,2,2022,1,29,3,12,7,Away Win,2021-2022
B1,2022-01-30,St. Gilloise,Anderlecht,1,0,H,6.0,9.0,5.0,3.0,15.0,14.0,5.0,2.0,3.0,1.0,0.0,0.0,2.3,3.5,2.9,2.25,3.6,2.95,2.3,3.45,2.85,2.31,3.72,2.92,2.25,3.4,3.0,2.25,3.4,3.0,2.35,3.8,3.01,2.29,3.56,2.89,12,1,2022,1,30,17,0,1,Home Win,2021-2022
B1,2022-01-30,Gent,Antwerp,0,1,A,16.0,3.0,4.0,2.0,11.0,14.0,8.0,7.0,3.0,3.0,0.0,0.0,1.8,3.5,4.33,1.82,3.75,4.2,1.9,3.6,3.8,1.85,3.86,4.02,1.83,3.6,4.0,1.83,3.6,4.1,1.9,3.89,4.33,1.85,3.69,3.99,15,2,2022,1,30,8,1,1,Away Win,2021-2022
B1,2022-01-30,Standard,Mechelen,1,2,A,17.0,8.0,8.0,4.0,11.0,16.0,6.0,5.0,1.0,4.0,0.0,0.0,2.1,3.5,3.25,2.0,3.6,3.5,2.1,3.5,3.2,2.05,3.66,3.51,2.05,3.5,3.4,2.05,3.5,3.4,2.12,3.76,3.59,2.05,3.58,3.37,17,2,2022,1,30,18,10,1,Away Win,2021-2022
B1,2022-01-30,Kortrijk,Club Brugge,0,1,A,8.0,17.0,1.0,6.0,10.0,13.0,3.0,4.0,2.0,1.0,0.0,0.0,5.25,3.75,1.65,4.75,4.0,1.68,4.3,3.95,1.67,5.15,3.85,1.68,4.75,3.8,1.67,4.8,3.9,1.65,5.3,4.2,1.7,4.78,3.94,1.66,20,2,2022,1,30,9,5,1,Away Win,2021-2022
B1,2022-02-02,Kortrijk,Antwerp,0,2,A,28.0,5.0,5.0,2.0,9.0,3.0,8.0,1.0,2.0,1.0,1.0,1.0,2.75,4.0,2.2,2.8,3.7,2.3,2.8,3.4,2.3,3.09,3.79,2.19,3.0,3.6,2.2,3.0,3.5,2.2,3.16,4.0,2.38,2.96,3.6,2.23,17,2,2022,2,2,9,1,4,Away Win,2021-2022
B1,2022-02-04,Charleroi,Seraing,2,0,H,10.0,7.0,3.0,1.0,11.0,6.0,6.0,8.0,1.0,3.0,0.0,1.0,1.6,4.2,5.25,1.66,4.1,4.75,1.6,4.0,5.0,1.63,4.18,5.4,1.67,3.9,4.6,1.6,4.1,5.0,1.66,4.31,5.4,1.62,4.09,5.04,19,1,2022,2,4,4,15,6,Home Win,2021-2022
B1,2022-02-05,Kortrijk,St Truiden,1,3,A,12.0,11.0,3.0,4.0,18.0,18.0,6.0,2.0,3.0,4.0,0.0,0.0,2.25,3.5,3.0,2.3,3.4,3.0,2.3,3.4,2.85,2.3,3.54,3.05,2.3,3.3,3.0,2.3,3.3,3.0,2.38,3.55,3.08,2.31,3.41,2.97,15,2,2022,2,5,9,16,7,Away Win,2021-2022
B1,2022-02-05,Oostende,Oud-Heverlee Leuven,1,3,A,12.0,8.0,3.0,4.0,11.0,13.0,6.0,2.0,2.0,1.0,0.0,0.0,2.45,3.4,2.75,2.37,3.7,2.7,2.45,3.45,2.6,2.59,3.54,2.66,2.45,3.4,2.7,2.55,3.4,2.63,2.63,3.7,2.75,2.51,3.5,2.64,17,2,2022,2,5,12,13,7,Away Win,2021-2022
B1,2022-02-05,Standard,Cercle Brugge,1,1,D,9.0,17.0,5.0,6.0,18.0,19.0,4.0,8.0,6.0,3.0,0.0,1.0,2.7,3.4,2.5,2.75,3.25,2.55,2.65,3.3,2.5,2.81,3.22,2.65,2.7,3.3,2.5,2.7,3.3,2.55,2.82,3.48,2.7,2.71,3.31,2.55,17,0,2022,2,5,18,3,7,Draw,2021-2022
B1,2022-02-05,Antwerp,St. Gilloise,0,2,A,14.0,16.0,2.0,6.0,8.0,13.0,6.0,4.0,3.0,3.0,0.0,0.0,3.1,3.6,2.1,3.2,3.6,2.15,3.0,3.45,2.2,3.19,3.54,2.23,3.0,3.4,2.25,3.2,3.4,2.15,3.21,3.75,2.31,3.09,3.53,2.19,19,2,2022,2,5,1,17,7,Away Win,2021-2022
B1,2022-02-06,Club Brugge,Gent,1,2,A,13.0,10.0,3.0,3.0,9.0,15.0,9.0,5.0,4.0,5.0,2.0,0.0,2.25,3.5,3.0,2.2,3.7,3.1,2.25,3.5,2.8,2.26,3.57,3.1,2.25,3.4,3.0,2.25,3.4,3.0,2.33,3.73,3.15,2.24,3.55,2.98,12,2,2022,2,6,5,8,1,Away Win,2021-2022
B1,2022-02-06,Mechelen,Beerschot VA,3,2,H,11.0,11.0,4.0,2.0,12.0,15.0,6.0,8.0,0.0,3.0,1.0,0.0,1.85,3.75,3.8,1.82,3.8,4.0,1.85,3.8,3.55,1.83,4.0,3.96,1.88,3.7,3.7,1.83,3.75,4.0,1.91,4.1,4.0,1.84,3.87,3.79,15,1,2022,2,6,10,2,1,Home Win,2021-2022
B1,2022-02-06,Anderlecht,Eupen,4,1,H,19.0,8.0,5.0,5.0,12.0,8.0,9.0,3.0,0.0,1.0,0.0,0.0,1.36,5.0,7.5,1.36,5.0,8.25,1.33,5.25,8.0,1.38,4.92,8.18,1.33,4.8,9.0,1.33,4.8,9.0,1.39,5.37,10.0,1.35,4.96,8.25,17,1,2022,2,6,0,6,1,Home Win,2021-2022
B1,2022-02-06,Genk,Waregem,2,0,H,13.0,10.0,5.0,1.0,12.0,7.0,5.0,4.0,2.0,2.0,0.0,0.0,1.33,5.0,9.0,1.36,5.25,8.0,1.33,5.5,7.75,1.38,5.14,7.46,1.33,5.0,8.5,1.33,5.0,9.0,1.4,5.7,9.0,1.35,5.24,7.83,20,1,2022,2,6,7,20,1,Home Win,2021-2022
B1,2022-02-09,Waregem,Oostende,0,0,D,12.0,18.0,6.0,3.0,10.0,14.0,6.0,8.0,0.0,1.0,0.0,0.0,2.15,3.5,3.2,2.15,3.8,3.0,2.2,3.55,2.9,2.2,3.84,3.04,2.15,3.5,3.1,2.15,3.6,3.1,2.23,3.9,3.2,2.17,3.67,3.01,17,0,2022,2,9,20,12,4,Draw,2021-2022
B1,2022-02-09,Oud-Heverlee Leuven,Genk,2,1,H,22.0,12.0,6.0,7.0,18.0,8.0,4.0,3.0,2.0,3.0,0.0,1.0,4.0,3.75,1.83,3.7,3.9,1.87,3.5,3.75,1.9,3.63,4.21,1.88,3.5,3.6,2.0,3.8,3.8,1.83,4.0,4.21,1.98,3.65,3.84,1.88,20,1,2022,2,9,13,7,4,Home Win,2021-2022
B1,2022-02-11,Seraing,Antwerp,0,1,A,8.0,19.0,3.0,5.0,14.0,11.0,1.0,9.0,1.0,2.0,0.0,1.0,3.6,3.5,2.0,3.8,3.7,1.87,3.4,3.5,1.97,3.71,3.61,2.05,3.9,3.5,1.88,3.5,3.5,2.0,3.8,3.75,2.05,3.57,3.55,1.99,19,2,2022,2,11,15,1,6,Away Win,2021-2022
B1,2022-02-12,Eupen,Gent,0,1,A,9.0,11.0,3.0,7.0,10.0,8.0,8.0,3.0,2.0,2.0,0.0,1.0,4.75,3.6,1.66,4.6,3.9,1.73,4.3,3.8,1.73,4.62,3.84,1.75,3.1,3.4,2.0,4.75,3.8,1.67,4.8,4.0,1.76,4.58,3.86,1.71,15,2,2022,2,12,6,8,7,Away Win,2021-2022
B1,2022-02-12,Mechelen,Oostende,3,0,H,11.0,4.0,4.0,1.0,1.0,13.0,7.0,3.0,0.0,1.0,0.0,0.0,1.8,4.0,4.0,1.83,3.9,3.9,1.83,3.8,3.7,1.78,3.99,4.26,1.95,3.5,3.75,1.75,3.8,4.2,1.85,4.0,4.3,1.81,3.86,3.99,17,1,2022,2,12,10,12,7,Home Win,2021-2022
B1,2022-02-12,Oud-Heverlee Leuven,Cercle Brugge,3,2,H,11.0,16.0,5.0,5.0,13.0,13.0,5.0,5.0,2.0,4.0,0.0,0.0,3.0,3.4,2.25,2.9,3.5,2.35,2.8,3.35,2.35,2.96,3.52,2.37,2.7,3.4,2.45,2.9,3.4,2.3,3.0,3.58,2.43,2.9,3.43,2.34,17,1,2022,2,12,13,3,7,Home Win,2021-2022
B1,2022-02-12,Waregem,Anderlecht,1,2,A,13.0,11.0,4.0,5.0,8.0,6.0,6.0,5.0,2.0,1.0,0.0,0.0,6.5,4.5,1.45,6.25,4.6,1.49,6.0,4.5,1.47,5.84,4.58,1.51,6.0,4.2,1.5,6.5,4.5,1.44,6.5,4.75,1.53,6.06,4.55,1.48,19,2,2022,2,12,20,0,7,Away Win,2021-2022
B1,2022-02-13,Genk,Standard,2,0,H,15.0,11.0,6.0,4.0,14.0,24.0,4.0,0.0,4.0,3.0,0.0,0.0,1.61,3.8,4.5,1.7,4.2,4.33,1.65,4.0,4.6,1.72,4.13,4.42,1.88,3.8,3.6,1.62,4.0,5.0,1.74,4.3,5.0,1.68,4.03,4.52,12,1,2022,2,13,7,18,1,Home Win,2021-2022
B1,2022-02-13,St. Gilloise,St Truiden,0,1,A,11.0,13.0,1.0,5.0,17.0,13.0,5.0,4.0,5.0,2.0,0.0,0.0,1.33,5.0,8.0,1.46,4.5,6.75,1.37,4.8,8.0,1.42,4.6,7.83,1.62,3.8,5.25,1.36,4.6,8.0,1.47,5.0,10.0,1.39,4.66,7.94,15,2,2022,2,13,17,16,1,Away Win,2021-2022
B1,2022-02-13,Club Brugge,Charleroi,2,0,H,10.0,15.0,5.0,3.0,7.0,9.0,5.0,5.0,1.0,1.0,0.0,0.0,1.66,4.0,4.75,1.71,4.2,4.2,1.67,4.1,4.5,1.66,4.68,4.28,1.88,3.8,3.6,1.65,4.0,4.75,1.71,4.7,4.75,1.67,4.2,4.48,17,1,2022,2,13,5,4,1,Home Win,2021-2022
B1,2022-02-13,Beerschot VA,Kortrijk,2,1,H,10.0,14.0,3.0,4.0,15.0,10.0,3.0,7.0,2.0,3.0,0.0,0.0,3.1,3.5,2.15,2.85,3.5,2.37,2.9,3.4,2.25,3.22,3.49,2.23,2.75,3.4,2.4,3.1,3.3,2.25,3.27,3.62,2.37,3.08,3.45,2.23,20,1,2022,2,13,2,9,1,Home Win,2021-2022
B1,2022-02-16,Genk,Mechelen,4,1,H,25.0,6.0,9.0,2.0,5.0,6.0,12.0,5.0,0.0,0.0,0.0,1.0,1.57,3.8,5.0,1.61,4.2,5.0,1.63,4.1,4.9,1.61,4.23,5.21,1.6,4.0,5.25,1.6,4.0,5.25,1.65,4.46,5.5,1.61,4.13,5.05,17,1,2022,2,16,7,10,4,Home Win,2021-2022
B1,2022-02-19,Cercle Brugge,Beerschot VA,2,0,H,26.0,7.0,10.0,2.0,14.0,11.0,10.0,2.0,1.0,2.0,0.0,1.0,1.4,4.33,7.0,1.43,4.6,7.0,1.43,4.5,6.75,1.43,4.73,7.16,1.36,4.4,9.0,1.4,4.5,8.0,1.45,4.9,8.0,1.42,4.58,7.12,15,1,2022,2,19,3,2,7,Home Win,2021-2022
B1,2022-02-19,Kortrijk,Waregem,5,0,H,17.0,16.0,10.0,3.0,8.0,11.0,1.0,5.0,1.0,4.0,0.0,1.0,1.9,3.5,3.6,1.98,3.7,3.5,1.97,3.6,3.4,2.0,3.68,3.64,1.91,3.6,3.75,1.95,3.5,3.7,2.03,3.85,3.92,1.97,3.64,3.58,17,1,2022,2,19,9,20,7,Home Win,2021-2022
B1,2022-02-19,Oostende,Standard,1,0,H,15.0,4.0,5.0,0.0,14.0,16.0,2.0,0.0,1.0,5.0,0.0,0.0,2.7,3.2,2.37,2.75,3.4,2.45,2.7,3.25,2.45,2.93,3.34,2.48,2.6,3.5,2.5,2.8,3.3,2.45,2.96,3.52,2.55,2.81,3.36,2.44,17,1,2022,2,19,12,18,7,Home Win,2021-2022
B1,2022-02-19,Charleroi,St. Gilloise,0,3,A,13.0,17.0,5.0,7.0,11.0,9.0,1.0,2.0,3.0,4.0,0.0,1.0,3.5,3.5,1.85,3.7,3.6,1.95,3.5,3.6,1.95,3.49,3.92,1.98,3.8,3.6,1.88,3.7,3.5,1.95,3.75,4.0,1.99,3.58,3.7,1.95,19,2,2022,2,19,4,17,7,Away Win,2021-2022
B1,2022-02-20,Antwerp,Mechelen,1,2,A,24.0,12.0,5.0,8.0,7.0,14.0,10.0,3.0,0.0,2.0,0.0,0.0,1.75,3.6,3.75,1.85,3.8,3.9,1.83,3.65,3.75,1.85,4.02,3.9,1.85,3.6,3.9,1.83,3.7,4.0,1.88,4.1,4.2,1.84,3.78,3.9,12,2,2022,2,20,1,10,1,Away Win,2021-2022
B1,2022-02-20,Eupen,Club Brugge,1,3,A,11.0,15.0,5.0,6.0,9.0,7.0,8.0,3.0,1.0,0.0,0.0,0.0,5.75,4.2,1.5,6.5,4.33,1.5,6.25,4.5,1.45,6.52,4.66,1.47,6.5,4.0,1.5,7.0,4.2,1.45,7.0,4.75,1.52,6.47,4.44,1.46,15,2,2022,2,20,6,5,1,Away Win,2021-2022
B1,2022-02-20,Anderlecht,Genk,2,0,H,14.0,10.0,5.0,1.0,10.0,11.0,4.0,3.0,4.0,2.0,0.0,1.0,1.8,3.6,3.6,1.85,3.8,3.9,1.9,3.65,3.75,1.87,3.93,3.89,1.83,3.7,3.9,1.83,3.7,3.9,1.9,3.97,4.0,1.85,3.76,3.88,17,1,2022,2,20,0,7,1,Home Win,2021-2022
B1,2022-02-20,St Truiden,Oud-Heverlee Leuven,2,0,H,10.0,8.0,4.0,3.0,11.0,7.0,6.0,8.0,3.0,3.0,0.0,1.0,2.3,3.25,2.87,2.25,3.4,3.1,2.25,3.35,2.9,2.29,3.55,3.07,2.3,3.2,3.1,2.3,3.3,3.0,2.38,3.59,3.13,2.3,3.41,2.99,20,1,2022,2,20,16,13,1,Home Win,2021-2022
B1,2022-02-23,Gent,Seraing,4,0,H,13.0,7.0,5.0,1.0,8.0,5.0,3.0,8.0,1.0,2.0,0.0,0.0,1.25,5.5,10.0,1.28,6.0,10.0,1.3,5.75,9.0,1.28,5.77,10.58,1.32,4.8,9.5,1.29,5.25,10.0,1.31,6.0,11.0,1.29,5.65,9.76,17,1,2022,2,23,8,15,4,Home Win,2021-2022
B1,2022-02-25,Beerschot VA,Charleroi,2,3,A,11.0,17.0,6.0,7.0,9.0,8.0,4.0,3.0,1.0,2.0,0.0,0.0,3.5,3.5,1.83,4.1,3.6,1.85,4.0,3.8,1.8,3.92,3.76,1.94,,,,3.75,3.5,1.93,4.1,3.84,1.98,3.78,3.64,1.92,19,2,2022,2,25,2,4,6,Away Win,2021-2022
B1,2022-02-26,St. Gilloise,Eupen,0,0,D,13.0,2.0,2.0,0.0,16.0,10.0,9.0,3.0,0.0,4.0,0.0,0.0,1.36,4.75,6.0,1.32,5.25,9.75,1.35,5.25,7.75,1.32,5.25,9.46,,,,1.33,5.0,8.5,1.36,5.5,10.0,1.34,5.15,8.49,15,0,2022,2,26,17,6,7,Draw,2021-2022
B1,2022-02-26,Mechelen,Cercle Brugge,2,2,D,21.0,14.0,5.0,5.0,10.0,16.0,7.0,5.0,3.0,4.0,1.0,1.0,2.2,3.4,2.8,2.3,3.6,2.9,2.3,3.4,2.8,2.38,3.62,2.87,,,,2.3,3.4,2.9,2.41,3.7,2.95,2.33,3.53,2.85,17,0,2022,2,26,10,3,7,Draw,2021-2022
B1,2022-02-26,Oostende,St Truiden,0,0,D,11.0,7.0,2.0,1.0,9.0,14.0,4.0,4.0,1.0,2.0,0.0,0.0,2.3,3.5,2.5,2.5,3.5,2.7,2.45,3.4,2.65,2.59,3.49,2.69,,,,2.5,3.3,2.7,2.65,3.57,2.75,2.51,3.43,2.67,17,0,2022,2,26,12,16,7,Draw,2021-2022
B1,2022-02-26,Oud-Heverlee Leuven,Anderlecht,0,0,D,14.0,18.0,4.0,5.0,2.0,12.0,5.0,4.0,1.0,4.0,0.0,1.0,4.5,3.75,1.65,4.5,4.1,1.7,4.1,4.0,1.73,4.59,4.08,1.71,,,,4.5,3.9,1.7,4.75,4.22,1.74,4.4,4.02,1.71,19,0,2022,2,26,13,0,7,Draw,2021-2022
B1,2022-02-27,Club Brugge,Antwerp,4,1,H,17.0,8.0,9.0,3.0,18.0,11.0,7.0,3.0,3.0,2.0,0.0,0.0,1.65,3.75,4.5,1.7,3.9,4.6,1.73,3.8,4.2,1.73,3.87,4.72,,,,1.7,3.75,4.6,1.75,4.01,4.75,1.72,3.86,4.51,12,1,2022,2,27,5,1,1,Home Win,2021-2022
B1,2022-02-27,Genk,Kortrijk,2,0,H,29.0,12.0,9.0,4.0,9.0,15.0,13.0,0.0,0.0,3.0,0.0,0.0,1.53,4.0,5.0,1.57,4.2,5.5,1.55,4.2,5.5,1.58,4.23,5.51,,,,1.53,4.1,5.75,1.6,4.4,5.75,1.56,4.2,5.41,15,1,2022,2,27,7,9,1,Home Win,2021-2022
B1,2022-02-27,Standard,Gent,0,1,A,12.0,10.0,4.0,4.0,19.0,14.0,2.0,5.0,5.0,2.0,0.0,1.0,4.5,3.6,1.7,4.33,3.9,1.75,4.3,3.6,1.73,4.62,3.84,1.75,,,,4.8,3.6,1.7,4.8,3.9,1.8,4.56,3.72,1.74,17,2,2022,2,27,18,8,1,Away Win,2021-2022
B1,2022-02-27,Waregem,Seraing,1,0,H,11.0,13.0,6.0,2.0,8.0,7.0,4.0,7.0,1.0,1.0,0.0,0.0,2.15,3.5,2.9,2.25,3.5,3.0,2.25,3.4,3.0,2.28,3.45,3.16,,,,2.2,3.4,3.1,2.3,3.7,3.2,2.22,3.48,3.06,20,1,2022,2,27,20,15,1,Home Win,2021-2022
B1,2022-03-02,Standard,Beerschot VA,1,0,H,8.0,12.0,3.0,5.0,15.0,14.0,1.0,3.0,2.0,5.0,1.0,0.0,1.65,3.8,4.5,1.66,4.0,4.8,1.65,4.0,4.6,1.67,4.13,4.8,1.61,4.0,5.0,1.65,4.0,4.75,1.73,4.2,4.9,1.67,4.07,4.64,17,1,2022,3,2,18,2,4,Home Win,2021-2022
B1,2022-03-04,St Truiden,Mechelen,1,1,D,13.0,11.0,5.0,5.0,7.0,16.0,3.0,4.0,1.0,3.0,0.0,0.0,2.15,3.3,2.9,2.25,3.5,3.0,2.25,3.35,2.95,2.28,3.61,3.16,2.35,3.3,2.9,2.2,3.4,3.1,2.33,3.67,3.2,2.23,3.49,3.06,19,0,2022,3,4,16,10,6,Draw,2021-2022
B1,2022-03-05,Cercle Brugge,Genk,2,2,D,17.0,17.0,6.0,6.0,10.0,10.0,11.0,2.0,0.0,0.0,0.0,0.0,2.87,3.3,2.3,2.9,3.3,2.4,2.8,3.35,2.35,2.98,3.34,2.44,2.87,3.4,2.35,2.88,3.4,2.3,3.0,3.64,2.45,2.88,3.4,2.37,15,0,2022,3,5,3,7,7,Draw,2021-2022
B1,2022-03-05,Kortrijk,St. Gilloise,2,3,A,10.0,17.0,3.0,7.0,10.0,9.0,3.0,13.0,2.0,3.0,0.0,0.0,4.5,3.75,1.66,4.8,4.0,1.66,4.9,3.85,1.65,5.12,3.97,1.66,4.2,3.8,1.61,5.25,3.75,1.62,5.25,4.1,1.7,4.95,3.91,1.65,17,2,2022,3,5,9,17,7,Away Win,2021-2022
B1,2022-03-05,Seraing,Club Brugge,0,5,A,6.0,15.0,2.0,7.0,8.0,8.0,6.0,5.0,1.0,1.0,1.0,0.0,6.5,4.33,1.4,6.25,4.8,1.46,6.5,4.6,1.43,7.27,4.56,1.44,6.5,4.4,1.44,7.0,4.75,1.4,7.6,5.0,1.46,6.66,4.66,1.43,19,2,2022,3,5,15,5,7,Away Win,2021-2022
B1,2022-03-06,Antwerp,Beerschot VA,2,1,H,13.0,6.0,5.0,1.0,13.0,13.0,7.0,3.0,2.0,7.0,0.0,1.0,,,,1.66,4.0,5.0,1.6,4.0,5.0,1.62,3.93,5.6,1.6,3.9,5.25,1.62,3.8,5.25,1.66,4.2,5.7,1.62,4.0,5.21,12,1,2022,3,6,1,2,1,Home Win,2021-2022
B1,2022-03-06,Anderlecht,Oostende,3,0,H,13.0,10.0,7.0,1.0,7.0,10.0,2.0,5.0,1.0,2.0,0.0,0.0,1.25,5.25,9.5,1.29,5.75,10.0,1.27,6.0,10.0,1.26,5.47,12.41,1.32,4.8,9.5,1.25,5.75,10.5,1.29,6.0,12.41,1.27,5.66,10.66,15,1,2022,3,6,0,12,1,Home Win,2021-2022
B1,2022-03-06,Charleroi,Standard,0,0,D,8.0,10.0,3.0,2.0,8.0,18.0,8.0,4.0,2.0,3.0,0.0,0.0,1.95,3.5,3.3,2.05,3.6,3.4,2.1,3.45,3.2,2.05,3.4,3.78,2.1,3.4,3.3,2.05,3.4,3.5,2.12,3.72,3.78,2.04,3.51,3.47,17,0,2022,3,6,4,18,1,Draw,2021-2022
B1,2022-03-06,Eupen,Oud-Heverlee Leuven,3,1,H,12.0,12.0,5.0,4.0,7.0,10.0,3.0,7.0,1.0,3.0,0.0,0.0,2.6,3.3,2.37,2.6,3.5,2.55,2.65,3.45,2.4,2.65,3.81,2.48,2.75,3.4,2.4,2.7,3.4,2.45,2.8,3.81,2.55,2.68,3.56,2.44,20,1,2022,3,6,6,13,1,Home Win,2021-2022
B1,2022-03-06,Gent,Waregem,2,1,H,25.0,11.0,8.0,5.0,5.0,8.0,10.0,0.0,0.0,3.0,0.0,0.0,1.22,5.5,10.0,1.25,6.25,11.0,1.25,6.0,10.0,1.23,6.37,11.86,1.25,5.25,12.0,1.25,5.75,11.5,1.27,6.5,12.0,1.25,5.97,10.69,20,1,2022,3,6,8,20,1,Home Win,2021-2022
B1,2022-03-11,Oud-Heverlee Leuven,St. Gilloise,1,4,A,9.0,21.0,2.0,8.0,11.0,11.0,5.0,7.0,2.0,0.0,0.0,0.0,4.5,4.0,1.7,4.5,4.0,1.71,4.1,3.9,1.73,4.61,4.19,1.72,4.2,3.6,1.8,4.5,3.9,1.7,4.75,4.22,1.76,4.46,4.01,1.71,19,2,2022,3,11,13,17,6,Away Win,2021-2022
B1,2022-03-12,Mechelen,Charleroi,2,2,D,10.0,14.0,3.0,5.0,12.0,6.0,4.0,3.0,2.0,4.0,0.0,0.0,2.25,3.5,2.9,2.35,3.5,2.85,2.3,3.45,2.75,2.28,3.61,3.04,2.38,3.4,2.8,2.45,3.4,2.75,2.45,3.74,3.04,2.35,3.52,2.83,15,0,2022,3,12,10,4,7,Draw,2021-2022
