Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,Hour,FTR_numeric,Year,Month,Day,HomeTeam_enc,AwayTeam_enc,DayOfWeek_Num,Result,Season
B1,2019-08-18,Antwerp,St Truiden,2,0,H,15.0,6.0,4.0,3.0,14.0,13.0,5.0,4.0,0.0,4.0,0.0,1.0,1.45,4.33,5.5,1.55,4.33,6.0,1.5,4.15,5.6,1.54,4.24,6.43,1.5,4.2,6.0,1.5,4.3,6.25,1.58,4.47,6.43,1.52,4.18,5.84,17,1,2019,8,18,1,16,1,Home Win,2019-2020
B1,2019-08-18,Gent,Oostende,2,0,H,11.0,5.0,4.0,2.0,6.0,15.0,5.0,4.0,0.0,1.0,0.0,0.0,1.33,5.5,7.5,1.4,5.25,7.5,1.35,4.95,7.3,1.36,5.33,8.56,1.35,5.0,8.0,1.36,5.0,8.0,1.4,5.5,8.56,1.36,5.1,7.54,19,1,2019,8,18,8,12,1,Home Win,2019-2020
B1,2019-08-19,Waregem,Charleroi,3,1,H,5.0,4.0,3.0,2.0,13.0,15.0,3.0,5.0,2.0,1.0,0.0,0.0,2.8,3.3,2.3,2.9,3.7,2.35,2.75,3.5,2.3,2.88,3.88,2.32,2.8,3.5,2.35,2.8,3.5,2.38,2.9,3.88,2.5,2.79,3.56,2.34,19,1,2019,8,19,20,4,2,Home Win,2019-2020
B1,2019-08-23,Genk,Anderlecht,1,0,H,6.0,8.0,4.0,2.0,8.0,16.0,5.0,10.0,0.0,1.0,0.0,0.0,1.72,3.8,4.5,1.78,3.75,4.2,1.75,3.8,4.1,1.78,4.09,4.32,1.75,3.9,4.2,1.75,3.9,4.3,1.82,4.1,4.5,1.77,3.84,4.16,19,1,2019,8,23,7,0,6,Home Win,2019-2020
B1,2019-08-24,Cercle Brugge,Waasland-Beveren,1,0,H,7.0,10.0,2.0,2.0,13.0,8.0,3.0,7.0,2.0,1.0,0.0,0.0,2.0,3.6,3.5,2.0,3.8,3.3,1.97,3.75,3.25,2.0,3.91,3.58,1.95,3.75,3.4,2.0,3.8,3.4,2.03,3.92,3.58,1.99,3.73,3.38,19,1,2019,8,24,3,19,7,Home Win,2019-2020
B1,2019-08-24,St Truiden,Waregem,0,0,D,13.0,8.0,2.0,2.0,15.0,15.0,5.0,4.0,2.0,1.0,0.0,0.0,2.25,3.5,3.0,2.2,3.5,3.0,2.25,3.65,2.8,2.31,3.8,2.95,2.2,3.75,2.88,2.3,3.7,2.88,2.33,3.92,3.0,2.26,3.64,2.86,19,0,2019,8,24,16,20,7,Draw,2019-2020
B1,2019-08-24,Oostende,Mechelen,2,1,H,13.0,11.0,8.0,6.0,18.0,12.0,6.0,9.0,2.0,3.0,0.0,0.0,3.1,3.5,2.2,2.9,3.6,2.25,3.0,3.5,2.15,3.11,3.71,2.25,3.0,3.5,2.25,3.1,3.6,2.2,3.11,3.75,2.3,3.01,3.54,2.21,19,1,2019,8,24,12,10,7,Home Win,2019-2020
B1,2019-08-25,Standard,Kortrijk,2,1,H,8.0,6.0,5.0,2.0,9.0,18.0,7.0,3.0,2.0,3.0,1.0,0.0,1.5,4.5,5.75,1.55,4.25,5.25,1.5,4.25,5.5,1.51,4.58,6.34,1.5,4.33,6.0,1.5,4.4,6.0,1.55,4.58,6.34,1.51,4.35,5.74,17,1,2019,8,25,18,9,1,Home Win,2019-2020
B1,2019-08-25,Mouscron,Eupen,2,0,H,5.0,6.0,4.0,2.0,17.0,11.0,6.0,6.0,3.0,3.0,0.0,0.0,1.72,3.75,4.5,1.75,3.7,4.4,1.7,3.75,4.4,1.72,3.96,4.88,1.7,3.75,4.6,1.7,3.8,4.8,1.8,3.96,4.88,1.72,3.77,4.52,19,1,2019,8,25,11,6,1,Home Win,2019-2020
B1,2019-08-30,Mechelen,Mouscron,2,2,D,8.0,10.0,4.0,5.0,13.0,16.0,5.0,7.0,1.0,1.0,0.0,0.0,1.95,3.75,3.5,2.0,3.6,3.8,1.95,3.45,3.6,2.05,3.5,3.83,1.78,3.7,4.2,2.0,3.5,3.6,2.06,3.75,4.03,2.0,3.47,3.68,19,0,2019,8,30,10,11,6,Draw,2019-2020
B1,2019-08-31,Eupen,St Truiden,0,2,A,16.0,10.0,6.0,3.0,14.0,7.0,7.0,1.0,2.0,1.0,0.0,0.0,2.3,3.6,2.8,2.3,3.7,2.9,2.25,3.55,2.85,2.26,3.82,3.02,2.25,3.6,2.88,2.25,3.7,2.9,2.32,3.82,3.02,2.25,3.62,2.91,17,2,2019,8,31,6,16,7,Away Win,2019-2020
B1,2019-08-31,Kortrijk,Oostende,2,2,D,6.0,12.0,3.0,3.0,16.0,15.0,7.0,1.0,1.0,1.0,0.0,0.0,2.05,3.6,3.4,2.0,3.8,3.5,1.97,3.65,3.35,2.02,3.98,3.47,2.0,3.75,3.3,2.0,3.75,3.5,2.13,3.98,3.5,1.99,3.71,3.39,19,0,2019,8,31,9,12,7,Draw,2019-2020
B1,2019-08-31,Waasland-Beveren,Charleroi,0,4,A,5.0,7.0,1.0,6.0,18.0,11.0,7.0,4.0,1.0,0.0,0.0,0.0,4.0,3.75,1.83,4.0,3.9,1.85,3.8,3.7,1.83,3.91,4.18,1.85,3.7,3.9,1.83,3.9,3.8,1.85,4.01,4.18,1.9,3.85,3.84,1.84,19,2,2019,8,31,19,4,7,Away Win,2019-2020
B1,2019-09-01,Club Brugge,Genk,1,1,D,10.0,13.0,5.0,3.0,16.0,13.0,6.0,5.0,2.0,4.0,0.0,0.0,1.75,3.75,4.33,1.8,4.0,4.1,1.75,3.8,4.1,1.79,4.08,4.26,1.75,3.8,4.2,1.75,3.9,4.2,1.83,4.08,4.35,1.77,3.86,4.15,13,0,2019,9,1,5,7,1,Draw,2019-2020
B1,2019-09-01,Anderlecht,Standard,1,0,H,10.0,11.0,4.0,5.0,15.0,12.0,1.0,3.0,2.0,2.0,0.0,0.0,2.05,3.6,3.4,2.15,3.5,3.3,2.1,3.55,3.15,2.2,3.6,3.31,2.1,3.5,3.2,2.15,3.6,3.2,2.25,3.72,3.4,2.15,3.52,3.18,17,1,2019,9,1,0,18,1,Home Win,2019-2020
B1,2019-09-01,Gent,Cercle Brugge,3,2,H,17.0,7.0,8.0,3.0,12.0,16.0,4.0,2.0,1.0,4.0,0.0,0.0,1.28,6.0,8.5,1.3,6.0,8.5,1.28,5.6,8.2,1.31,5.8,9.44,1.27,5.5,9.5,1.29,6.0,9.5,1.32,6.0,9.5,1.29,5.75,8.77,19,1,2019,9,1,8,3,1,Home Win,2019-2020
B1,2019-09-01,Waregem,Antwerp,2,0,H,10.0,3.0,4.0,2.0,7.0,16.0,5.0,6.0,0.0,2.0,0.0,0.0,2.7,3.8,2.3,2.75,3.75,2.4,2.65,3.55,2.4,2.75,3.82,2.44,2.7,3.6,2.35,2.7,3.7,2.4,2.85,3.82,2.51,2.68,3.61,2.41,19,1,2019,9,1,20,1,1,Home Win,2019-2020
B1,2019-09-13,Charleroi,Genk,2,1,H,3.0,11.0,3.0,4.0,14.0,8.0,1.0,3.0,6.0,1.0,0.0,0.0,2.7,3.6,2.37,2.9,3.6,2.4,2.7,3.5,2.35,2.8,3.67,2.47,2.75,3.5,2.35,2.75,3.6,2.38,2.9,3.74,2.47,2.77,3.54,2.39,19,1,2019,9,13,4,7,6,Home Win,2019-2020
B1,2019-09-14,Oostende,Standard,1,4,A,4.0,10.0,3.0,8.0,11.0,10.0,2.0,9.0,0.0,2.0,0.0,0.0,4.33,4.2,1.66,4.33,4.33,1.7,4.35,4.0,1.67,4.36,4.4,1.72,4.4,4.0,1.67,4.6,4.1,1.67,4.62,4.4,1.75,4.34,4.11,1.69,17,2,2019,9,14,12,18,7,Away Win,2019-2020
B1,2019-09-14,Eupen,Waregem,1,1,D,9.0,4.0,2.0,2.0,18.0,20.0,5.0,2.0,3.0,2.0,0.0,1.0,2.75,3.75,2.3,2.8,3.7,2.35,2.7,3.6,2.3,2.71,3.83,2.47,2.75,3.7,2.3,2.8,3.75,2.3,3.0,3.9,2.47,2.75,3.66,2.33,19,0,2019,9,14,6,20,7,Draw,2019-2020
B1,2019-09-14,St Truiden,Waasland-Beveren,1,1,D,4.0,12.0,2.0,4.0,12.0,11.0,6.0,9.0,2.0,1.0,0.0,0.0,1.6,4.2,5.0,1.65,4.33,4.75,1.63,4.15,4.5,1.65,4.33,4.99,1.63,4.2,4.5,1.65,4.2,4.6,1.7,4.33,5.0,1.64,4.18,4.64,19,0,2019,9,14,16,19,7,Draw,2019-2020
B1,2019-09-14,Cercle Brugge,Club Brugge,0,2,A,11.0,8.0,4.0,4.0,13.0,6.0,3.0,9.0,1.0,2.0,0.0,0.0,8.5,6.0,1.28,9.0,6.0,1.3,8.6,5.7,1.27,9.03,6.23,1.3,10.0,5.8,1.25,10.5,6.0,1.25,10.5,6.23,1.31,8.96,5.85,1.28,19,2,2019,9,14,3,5,7,Away Win,2019-2020
B1,2019-09-15,Anderlecht,Antwerp,1,2,A,10.0,13.0,2.0,8.0,13.0,13.0,11.0,4.0,4.0,4.0,1.0,0.0,2.0,3.6,3.5,2.0,3.7,3.6,1.97,3.5,3.5,2.03,3.8,3.6,1.95,3.7,3.5,2.0,3.6,3.6,2.11,3.8,3.6,2.0,3.6,3.47,13,2,2019,9,15,0,1,1,Away Win,2019-2020
