Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
B1,15/09/2019,19:30,Mouscron,Kortrijk,2,0,1,1.0,0.0,H,8.0,7.0,4.0,2.0,14.0,16.0,6.0,5.0,3.0,3.0,0.0,1.0,2.1,3.5,3.3
B1,20/09/2019,19:30,Kortrijk,Mechelen,2,3,0,1.0,0.0,H,11.0,9.0,7.0,6.0,19.0,18.0,6.0,2.0,0.0,3.0,0.0,0.0,2.4,3.3,2.87
B1,21/09/2019,17:00,Charleroi,St Truiden,0,3,0,0.0,1.0,A,12.0,5.0,2.0,5.0,13.0,13.0,12.0,2.0,2.0,3.0,0.0,0.0,1.57,4.0,5.75
B1,21/09/2019,19:00,Antwerp,Cercle Brugge,3,1,1,1.0,1.0,D,13.0,5.0,8.0,1.0,14.0,13.0,5.0,2.0,1.0,2.0,0.0,0.0,1.36,4.75,8.0
B1,21/09/2019,19:00,Waasland-Beveren,Mouscron,1,1,2,0.0,1.0,A,7.0,6.0,2.0,4.0,11.0,11.0,2.0,4.0,1.0,2.0,0.0,0.0,3.4,3.5,2.05
B1,21/09/2019,19:30,Genk,Oostende,3,1,1,2.0,1.0,H,14.0,14.0,3.0,5.0,11.0,11.0,8.0,4.0,2.0,2.0,0.0,0.0,1.33,4.75,10.0
B1,22/09/2019,13:30,Standard,Eupen,3,0,1,2.0,0.0,H,15.0,4.0,8.0,1.0,9.0,14.0,6.0,3.0,0.0,2.0,0.0,1.0,1.28,5.75,9.0
B1,22/09/2019,17:00,Club Brugge,Anderlecht,2,1,1,1.0,1.0,D,17.0,5.0,8.0,4.0,11.0,14.0,8.0,3.0,1.0,2.0,0.0,0.0,1.5,4.33,6.0
B1,22/09/2019,19:00,Waregem,Gent,2,2,2,1.0,1.0,D,6.0,13.0,2.0,5.0,11.0,17.0,3.0,2.0,1.0,1.0,0.0,1.0,3.4,3.75,2.0
B1,28/09/2019,17:00,Mechelen,Club Brugge,0,5,0,0.0,1.0,A,2.0,22.0,0.0,12.0,6.0,19.0,1.0,12.0,2.0,1.0,1.0,0.0,6.0,4.33,1.5
B1,28/09/2019,19:00,Cercle Brugge,Eupen,1,2,0,1.0,0.0,H,7.0,7.0,3.0,4.0,22.0,19.0,1.0,2.0,4.0,4.0,1.0,0.0,2.0,3.6,3.25
B1,28/09/2019,19:00,Gent,Kortrijk,2,0,1,0.0,0.0,D,13.0,3.0,8.0,2.0,9.0,14.0,2.0,5.0,2.0,0.0,0.0,0.0,1.3,5.5,9.0
B1,28/09/2019,19:00,Mouscron,Waregem,2,2,2,1.0,0.0,H,9.0,13.0,4.0,7.0,23.0,13.0,4.0,6.0,3.0,1.0,0.0,0.0,2.15,3.5,2.9
B1,28/09/2019,19:30,St Truiden,Genk,3,3,2,0.0,1.0,A,8.0,8.0,4.0,4.0,19.0,10.0,10.0,13.0,6.0,1.0,0.0,0.0,4.75,3.8,1.7
B1,29/09/2019,13:30,Anderlecht,Waasland-Beveren,0,0,2,0.0,0.0,D,12.0,4.0,5.0,2.0,14.0,17.0,7.0,1.0,2.0,3.0,0.0,0.0,1.36,4.75,6.5
B1,29/09/2019,17:00,Standard,Charleroi,1,1,2,0.0,1.0,A,9.0,10.0,3.0,5.0,13.0,21.0,9.0,2.0,2.0,4.0,0.0,1.0,1.57,4.0,4.75
B1,29/09/2019,19:00,Oostende,Antwerp,1,1,2,0.0,1.0,A,12.0,7.0,5.0,2.0,14.0,12.0,2.0,5.0,0.0,0.0,0.0,0.0,3.8,3.8,1.75
B1,04/10/2019,19:30,Charleroi,Anderlecht,1,2,0,1.0,1.0,D,11.0,11.0,3.0,6.0,23.0,17.0,4.0,4.0,2.0,5.0,0.0,0.0,2.37,3.3,2.87
B1,05/10/2019,17:00,Eupen,Mechelen,0,2,0,0.0,1.0,A,13.0,10.0,5.0,4.0,10.0,11.0,10.0,6.0,1.0,5.0,0.0,1.0,2.7,3.4,2.5
B1,05/10/2019,19:00,Waasland-Beveren,Oostende,3,1,1,2.0,1.0,H,14.0,7.0,8.0,5.0,16.0,16.0,8.0,1.0,1.0,3.0,0.0,0.0,2.5,3.3,2.75
B1,05/10/2019,19:00,Waregem,Cercle Brugge,6,0,1,2.0,0.0,H,11.0,8.0,7.0,3.0,8.0,17.0,4.0,7.0,1.0,3.0,0.0,0.0,1.6,4.0,5.5
B1,05/10/2019,19:30,Kortrijk,St Truiden,4,0,1,3.0,0.0,H,16.0,6.0,9.0,0.0,16.0,12.0,3.0,2.0,3.0,2.0,0.0,1.0,1.83,3.6,4.0
B1,06/10/2019,13:30,Club Brugge,Gent,4,0,1,2.0,0.0,H,11.0,15.0,7.0,8.0,16.0,9.0,5.0,5.0,4.0,3.0,0.0,0.0,1.6,4.0,5.25
B1,06/10/2019,17:00,Antwerp,Standard,2,2,2,1.0,0.0,H,14.0,9.0,5.0,3.0,15.0,19.0,5.0,4.0,3.0,2.0,0.0,0.0,2.15,3.4,3.25
B1,06/10/2019,19:00,Genk,Mouscron,2,1,1,0.0,0.0,D,12.0,7.0,6.0,3.0,12.0,12.0,1.0,4.0,1.0,2.0,0.0,0.0,1.45,4.33,6.0
B1,18/10/2019,19:30,Mouscron,Club Brugge,0,1,0,0.0,1.0,A,5.0,11.0,1.0,6.0,13.0,15.0,4.0,5.0,0.0,1.0,0.0,0.0,7.0,4.75,1.4
B1,19/10/2019,17:00,Standard,Genk,1,0,1,0.0,0.0,D,10.0,7.0,4.0,2.0,11.0,10.0,4.0,6.0,2.0,1.0,0.0,0.0,2.1,3.75,3.1
B1,19/10/2019,19:00,Kortrijk,Waregem,2,0,1,1.0,0.0,H,9.0,7.0,7.0,3.0,10.0,8.0,11.0,5.0,1.0,4.0,0.0,1.0,2.1,3.8,3.1
B1,19/10/2019,19:00,Oostende,Eupen,2,3,0,2.0,1.0,H,10.0,10.0,5.0,5.0,8.0,19.0,11.0,5.0,1.0,3.0,0.0,1.0,2.0,3.6,3.4
